"filename", "language", "JavaScript", "SCSS", "HTML", "comment", "blank", "total"
"/Users/paulstevens/Developer/portfolio-game/src/components/Building/Building.jsx", "JavaScript", 34, 0, 0, 0, 8, 42
"/Users/paulstevens/Developer/portfolio-game/src/components/Building/Building.scss", "SCSS", 0, 12, 0, 0, 2, 14
"/Users/paulstevens/Developer/portfolio-game/src/components/Buildings/Buildings.jsx", "JavaScript", 12, 0, 0, 0, 3, 15
"/Users/paulstevens/Developer/portfolio-game/src/components/Buttons/Buttons.jsx", "JavaScript", 62, 0, 0, 0, 12, 74
"/Users/paulstevens/Developer/portfolio-game/src/components/Buttons/Buttons.scss", "SCSS", 0, 44, 0, 0, 9, 53
"/Users/paulstevens/Developer/portfolio-game/src/components/Engine/Engine.jsx", "JavaScript", 84, 0, 0, 0, 16, 100
"/Users/paulstevens/Developer/portfolio-game/src/components/Engine/Engine.scss", "SCSS", 0, 12, 0, 0, 0, 12
"/Users/paulstevens/Developer/portfolio-game/src/components/Header/Header.jsx", "JavaScript", 18, 0, 0, 0, 4, 22
"/Users/paulstevens/Developer/portfolio-game/src/components/Header/Header.scss", "SCSS", 0, 15, 0, 0, 3, 18
"/Users/paulstevens/Developer/portfolio-game/src/components/Player/Player.jsx", "JavaScript", 33, 0, 0, 0, 7, 40
"/Users/paulstevens/Developer/portfolio-game/src/components/Player/Player.scss", "SCSS", 0, 3, 0, 0, 0, 3
"/Users/paulstevens/Developer/portfolio-game/src/components/Projectile/Projectile.jsx", "JavaScript", 28, 0, 0, 0, 6, 34
"/Users/paulstevens/Developer/portfolio-game/src/components/Projectile/Projectile.scss", "SCSS", 0, 3, 0, 0, 0, 3
"/Users/paulstevens/Developer/portfolio-game/src/components/Walls/Walls.jsx", "JavaScript", 18, 0, 0, 0, 4, 22
"/Users/paulstevens/Developer/portfolio-game/src/components/Walls/Walls.scss", "SCSS", 0, 6, 0, 0, 1, 7
"/Users/paulstevens/Developer/portfolio-game/src/components/app/App.jsx", "JavaScript", 6, 0, 0, 0, 2, 8
"/Users/paulstevens/Developer/portfolio-game/src/components/app/App.scss", "SCSS", 0, 6, 0, 0, 1, 7
"/Users/paulstevens/Developer/portfolio-game/src/components/app/App.test.jsx", "JavaScript", 10, 0, 0, 0, 2, 12
"/Users/paulstevens/Developer/portfolio-game/src/containers/LandingPage.jsx", "JavaScript", 12, 0, 0, 0, 3, 15
"/Users/paulstevens/Developer/portfolio-game/src/containers/LandingPage.scss", "SCSS", 0, 5, 0, 0, 0, 5
"/Users/paulstevens/Developer/portfolio-game/src/hooks/handleKeyPress.js", "JavaScript", 32, 0, 0, 0, 8, 40
"/Users/paulstevens/Developer/portfolio-game/src/hooks/handleProjectileMovement.js", "JavaScript", 27, 0, 0, 0, 6, 33
"/Users/paulstevens/Developer/portfolio-game/src/hooks/useCharacter.js", "JavaScript", 19, 0, 0, 0, 6, 25
"/Users/paulstevens/Developer/portfolio-game/src/hooks/useEvent.js", "JavaScript", 9, 0, 0, 0, 4, 13
"/Users/paulstevens/Developer/portfolio-game/src/hooks/useMap.js", "JavaScript", 30, 0, 0, 0, 6, 36
"/Users/paulstevens/Developer/portfolio-game/src/hooks/useProjectile.js", "JavaScript", 39, 0, 0, 0, 9, 48
"/Users/paulstevens/Developer/portfolio-game/src/index.html", "HTML", 0, 0, 12, 0, 4, 16
"/Users/paulstevens/Developer/portfolio-game/src/index.js", "JavaScript", 7, 0, 0, 0, 2, 9
"/Users/paulstevens/Developer/portfolio-game/src/scss/Constants.scss", "SCSS", 0, 2, 0, 0, 1, 3
"/Users/paulstevens/Developer/portfolio-game/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 1, 2
"/Users/paulstevens/Developer/portfolio-game/src/utils/changePosition.js", "JavaScript", 26, 0, 0, 0, 5, 31
"/Users/paulstevens/Developer/portfolio-game/src/utils/collisionChecker.js", "JavaScript", 18, 0, 0, 4, 6, 28
"/Users/paulstevens/Developer/portfolio-game/src/utils/lobbyBuildingWalls.js", "JavaScript", 78, 0, 0, 0, 3, 81
"/Users/paulstevens/Developer/portfolio-game/src/utils/simulateKeyPress.js", "JavaScript", 4, 0, 0, 0, 5, 9
"Total", "-", 607, 108, 12, 4, 149, 880
